objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,ascii_name,timezone,createdAt,elevation
vmgsBEz0SL,,544,null,2,Y_r_da,10,17.65872,3406,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Yarada,Y_r_da",83.27419,P,2/21/19,,IN,PPL,1252783,Yarada,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
XHiMAO6FwF,,5,null,12,P_nch,999,33.77033,28197,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Poonch,Punch,P_nch,bwnsh,bwntsh,pwnch_,_____,____,_____",74.09254,P,6/10/20,,IN,PPL,1167718,Punch,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
0xxJhOUJvi,,608,null,25,V_ragan_r,171,11.47613,10854,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),,78.73553,P,10/4/17,,IN,PPL,1253147,Viraganur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
06zYIns05y,,605,null,25,Walajapet,173,12.9251,30256,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Walaja,Walajapet,W_l_j_pet",79.36626,P,10/14/14,,IN,PPL,1252997,Walajapet,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
VOq6qDin0f,,521,null,16,Wadgaon,631,18.7392,12373,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vadgaon,Wadgaon",73.63945,P,10/13/14,,IN,PPL,1253052,Wadgaon,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
PK5GK3SrvG,,176,null,36,Zaidpur,121,26.83093,33397,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Zaidpur,81.32929,P,8/7/15,,IN,PPL,1252698,Zaidpur,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
lvaq7EFFKy,,263,null,20,Zunheboto,1349,25.96667,29499,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Zunheboto,94.51667,P,6/8/16,,IN,PPLA2,1252653,Zunheboto,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
Yi79SwPggE,,545,null,2,Yanam,11,16.73308,36896,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Janam,Yanam,Yanaon,____",82.21364,P,10/10/14,,IN,PPL,1252795,Yanam,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
DF6ytoK9Qt,,611,null,25,Wellington,1847,11.36552,20254,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vellington,Wellington,Wellington Town,__________",76.78442,P,2/4/17,,IN,PPL,1252887,Wellington,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
47LFR1JGyw,,264,null,20,Wokha,1385,26.09717,54010,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),Wokha,94.25817,P,10/14/14,,IN,PPL,1252840,Wokha,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
i0SahvMjJW,,547,null,2,Vijayawada,47,16.50745,874587,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Bezawada,Bezwada,Bezw_da,VGA,Vidzajavada,Vidzhajavada,Vidzsajavada,Vidzsajav�d�,Vid_ajavada,Vijajauada,Vijaja_ada,Vijayavada,Vijayav_d_,Vijayawada,Vijayaw_da,Widzajawada,Wid_ajawada,bejavada,bijayabada,bijayarada,bijayawada,bijayawara,fjayawada,fyjayawada,vicayavata,vijaiavada,vijaivara,vijayavada,vijayavara,vu~ijayawada,wei jie ya wa da,wjyawada,wjy_ wa__,wyjyawada,__________,__________,__________,__________,_________,__________,____ ____,________,________,__________,_________,_________,________,________,_________,________,________,________,_________,________,________,______,_______,_______,_______,__________,________,_____,_____",80.6466,P,5/7/19,,IN,PPL,1253184,Vijayawada,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
R6CkTfTuFb,,607,null,25,Vikrav_ndi,43,12.0369,10449,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Vikravandi,Vikrav_ndi",79.54595,P,2/4/17,,IN,PPL,1253177,Vikravandi,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
ZZXguULkKk,,149,null,36,Waz_rganj,178,28.21145,19372,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),"Wazirganj,Waz_rganj",79.05665,P,10/4/15,,IN,PPL,1252892,Wazirganj,Asia/Kolkata,Wed Oct 07 2020 23:51:28 GMT+0530 (India Standard Time),
