EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:52:18	0.1000	0.1582	0.0557	0.9071	0.9096	0.9084	0.8885
2	18:53:32	0.1000	0.0821	0.0437	0.9362	0.9229	0.9295	0.9130
3	18:54:46	0.1000	0.0690	0.0370	0.9448	0.9346	0.9397	0.9248
4	18:55:59	0.1000	0.0611	0.0337	0.9523	0.9440	0.9481	0.9350
5	18:57:14	0.1000	0.0556	0.0322	0.9550	0.9454	0.9502	0.9378
6	18:58:29	0.1000	0.0526	0.0287	0.9580	0.9546	0.9563	0.9451
7	18:59:45	0.1000	0.0502	0.0278	0.9587	0.9577	0.9582	0.9480
8	19:01:02	0.1000	0.0459	0.0279	0.9556	0.9510	0.9533	0.9428
9	19:02:13	0.1000	0.0453	0.0278	0.9628	0.9544	0.9586	0.9473
10	19:03:29	0.1000	0.0436	0.0265	0.9622	0.9606	0.9614	0.9519
11	19:04:46	0.1000	0.0411	0.0262	0.9612	0.9598	0.9605	0.9507
12	19:05:58	0.1000	0.0412	0.0259	0.9629	0.9560	0.9594	0.9495
13	19:07:09	0.1000	0.0390	0.0263	0.9653	0.9613	0.9633	0.9539
14	19:08:26	0.1000	0.0383	0.0248	0.9667	0.9602	0.9634	0.9538
15	19:09:43	0.1000	0.0371	0.0251	0.9658	0.9598	0.9628	0.9542
16	19:10:56	0.1000	0.0360	0.0251	0.9665	0.9629	0.9647	0.9554
17	19:12:15	0.1000	0.0360	0.0254	0.9641	0.9579	0.9610	0.9520
18	19:13:27	0.1000	0.0342	0.0261	0.9692	0.9623	0.9657	0.9565
19	19:14:54	0.1000	0.0342	0.0248	0.9696	0.9637	0.9667	0.9580
20	19:16:21	0.1000	0.0339	0.0254	0.9667	0.9625	0.9646	0.9555
21	19:17:32	0.1000	0.0319	0.0246	0.9665	0.9617	0.9641	0.9559
22	19:18:46	0.1000	0.0320	0.0250	0.9698	0.9642	0.9670	0.9582
23	19:20:06	0.1000	0.0316	0.0245	0.9684	0.9648	0.9666	0.9588
24	19:21:20	0.1000	0.0308	0.0261	0.9629	0.9637	0.9633	0.9540
25	19:22:32	0.1000	0.0305	0.0243	0.9686	0.9650	0.9668	0.9588
26	19:23:44	0.1000	0.0293	0.0249	0.9682	0.9644	0.9663	0.9580
27	19:24:58	0.0500	0.0270	0.0247	0.9711	0.9669	0.9690	0.9613
28	19:26:28	0.0500	0.0252	0.0253	0.9681	0.9673	0.9677	0.9597
29	19:27:39	0.0500	0.0246	0.0243	0.9734	0.9675	0.9704	0.9625
30	19:29:04	0.0500	0.0237	0.0257	0.9695	0.9671	0.9683	0.9599
31	19:30:16	0.0500	0.0239	0.0252	0.9697	0.9656	0.9676	0.9592
32	19:31:30	0.0500	0.0230	0.0258	0.9695	0.9679	0.9687	0.9607
33	19:32:44	0.0500	0.0234	0.0253	0.9720	0.9706	0.9713	0.9642
34	19:34:05	0.0500	0.0232	0.0247	0.9683	0.9660	0.9671	0.9594
35	19:35:19	0.0500	0.0217	0.0253	0.9689	0.9667	0.9678	0.9603
